sample_id,sample_date,location,sequence_id
PHS11,31/03/2026,Mylona_marsh,PHS11|Mylona_marsh|2026-03-31
PHS2,04/04/2026,Mylona_marsh,PHS2|Mylona_marsh|2026-04-04
PHS9,05/04/2026,Mylona_marsh,PHS9|Mylona_marsh|2026-04-05
PHS19,13/04/2026,Mylona_marsh,PHS19|Mylona_marsh|2026-04-13
PHS22,13/04/2026,Mylona_marsh,PHS22|Mylona_marsh|2026-04-13
PHS23,16/04/2026,Rachelburg,PHS23|Rachelburg|2026-04-16
PHS17,17/04/2026,Mylona_marsh,PHS17|Mylona_marsh|2026-04-17
LHFV001,2010,Mylona_marsh,LHFV001|Mylona_marsh|2010
LHFV002,2006,Mylona_marsh,LHFV002|Mylona_marsh|2006
LHFV003,2007,Mylona_marsh,LHFV003|Mylona_marsh|2007
LHFV004,1982,Mylona_marsh,LHFV004|Mylona_marsh|1982
LHFV005,1990,Mylona_marsh,LHFV005|Mylona_marsh|1990
LHFV006,2019,Mylona_marsh,LHFV006|Mylona_marsh|2019
LHFV007,2005,Mylona_marsh,LHFV007|Mylona_marsh|2005
PHS00,05/04/2026,Mylona_marsh,PHS00|Mylona_marsh|2026-04-05
