sample_id,sample_date,location,sequence_id
PHS11,2026-03-31,Mylona_marsh,PHS11|Mylona_marsh|2026-03-31
PHS2,2026-04-04,Mylona_marsh,PHS2|Mylona_marsh|2026-04-04
PHS9,2026-04-05,Mylona_marsh,PHS9|Mylona_marsh|2026-04-05
PHS19,2026-04-13,Mylona_marsh,PHS19|Mylona_marsh|2026-04-13
PHS22,2026-04-13,Mylona_marsh,PHS22|Mylona_marsh|2026-04-13
PHS23,2026-04-16,Rachelburg,PHS23|Rachelburg|2026-04-16
PHS17,2026-04-17,Mylona_marsh,PHS17|Mylona_marsh|2026-04-17
PHS55,2026-05-04,Rachelburg,PHS55|Rachelburg|2026-05-04
PHS41,2026-05-06,Rachelburg,PHS41|Rachelburg|2026-05-06
PHS70,2026-05-10,Rachelburg,PHS70|Rachelburg|2026-05-10
PHS67,2026-05-14,Rachelburg,PHS67|Rachelburg|2026-05-14
PHS168,2026-05-23,Rachelburg,PHS168|Rachelburg|2026-05-23
PHS137,2026-05-24,Rachelburg,PHS137|Rachelburg|2026-05-24
PHS100,2026-05-24,Rachelburg,PHS100|Rachelburg|2026-05-24
PHS127,2026-05-25,Rachelburg,PHS127|Rachelburg|2026-05-25
PHS152,2026-05-27,Rachelburg,PHS152|Rachelburg|2026-05-27
PHS128,2026-05-28,Rachelburg,PHS128|Rachelburg|2026-05-28
PHS196,2026-05-30,Rachelburg,PHS196|Rachelburg|2026-05-30
PHS171,2026-06-01,Andrewburg,PHS171|Andrewburg|2026-06-01
PHS251,2026-06-02,Rachelburg,PHS251|Rachelburg|2026-06-02
PHS217,2026-06-04,Rachelburg,PHS217|Rachelburg|2026-06-04
PHS132,2026-06-04,Rachelburg,PHS132|Rachelburg|2026-06-04
PHS147,2026-06-04,Rachelburg,PHS147|Rachelburg|2026-06-04
PHS209,2026-06-05,Rachelburg,PHS209|Rachelburg|2026-06-05
PHS205,2026-06-05,Rachelburg,PHS205|Rachelburg|2026-06-05
PHS302,2026-06-06,Rachelburg,PHS302|Rachelburg|2026-06-06
PHS267,2026-06-06,Rachelburg,PHS267|Rachelburg|2026-06-06
PHS312,2026-06-07,Rachelburg,PHS312|Rachelburg|2026-06-07
PHS247,2026-06-07,Rachelburg,PHS247|Rachelburg|2026-06-07
PHS280,2026-06-07,Andrewburg,PHS280|Andrewburg|2026-06-07
PHS295,2026-06-08,Andrewburg,PHS295|Andrewburg|2026-06-08
