sample_id,sample_date,location,sequence_id
PHS11,2026-03-31,Mylona_marsh,PHS11|Mylona_marsh|2026-03-31
PHS2,2026-04-04,Mylona_marsh,PHS2|Mylona_marsh|2026-04-04
PHS9,2026-04-05,Mylona_marsh,PHS9|Mylona_marsh|2026-04-05
PHS19,2026-04-13,Mylona_marsh,PHS19|Mylona_marsh|2026-04-13
PHS22,2026-04-13,Mylona_marsh,PHS22|Mylona_marsh|2026-04-13
PHS23,2026-04-16,Rachelburg,PHS23|Rachelburg|2026-04-16
PHS17,2026-04-17,Mylona_marsh,PHS17|Mylona_marsh|2026-04-17
PHS4,2026-03-17,Mylona_marsh,PHS4|Mylona_marsh|2026-03-17
PHS1,2026-03-17,Mylona_marsh,PHS1|Mylona_marsh|2026-03-17
PHS0,2026-03-19,Mylona_marsh,PHS0|Mylona_marsh|2026-03-19
PHS3,2026-03-20,Mylona_marsh,PHS3|Mylona_marsh|2026-03-20
PHS7,2026-03-27,Mylona_marsh,PHS7|Mylona_marsh|2026-03-27
PHS13,2026-04-10,Mylona_marsh,PHS13|Mylona_marsh|2026-04-10
PHS351,2026-06-20,Rachelburg,PHS351|Rachelburg|2026-06-20
PHS55,2026-05-04,Rachelburg,PHS55|Rachelburg|2026-05-04
PHS41,2026-05-06,Rachelburg,PHS41|Rachelburg|2026-05-06
PHS70,2026-05-10,Rachelburg,PHS70|Rachelburg|2026-05-10
PHS67,2026-05-14,Rachelburg,PHS67|Rachelburg|2026-05-14
PHS168,2026-05-23,Rachelburg,PHS168|Rachelburg|2026-05-23
PHS137,2026-05-24,Rachelburg,PHS137|Rachelburg|2026-05-24
PHS100,2026-05-24,Rachelburg,PHS100|Rachelburg|2026-05-24
PHS127,2026-05-25,Rachelburg,PHS127|Rachelburg|2026-05-25
PHS152,2026-05-27,Rachelburg,PHS152|Rachelburg|2026-05-27
PHS128,2026-05-28,Rachelburg,PHS128|Rachelburg|2026-05-28
PHS196,2026-05-30,Rachelburg,PHS196|Rachelburg|2026-05-30
PHS171,2026-06-01,Andrewburg,PHS171|Andrewburg|2026-06-01
PHS251,2026-06-02,Rachelburg,PHS251|Rachelburg|2026-06-02
PHS217,2026-06-04,Rachelburg,PHS217|Rachelburg|2026-06-04
PHS132,2026-06-04,Rachelburg,PHS132|Rachelburg|2026-06-04
PHS147,2026-06-04,Rachelburg,PHS147|Rachelburg|2026-06-04
PHS209,2026-06-05,Rachelburg,PHS209|Rachelburg|2026-06-05
PHS205,2026-06-05,Rachelburg,PHS205|Rachelburg|2026-06-05
PHS302,2026-06-06,Rachelburg,PHS302|Rachelburg|2026-06-06
PHS267,2026-06-06,Rachelburg,PHS267|Rachelburg|2026-06-06
PHS312,2026-06-07,Rachelburg,PHS312|Rachelburg|2026-06-07
PHS247,2026-06-07,Rachelburg,PHS247|Rachelburg|2026-06-07
PHS280,2026-06-07,Andrewburg,PHS280|Andrewburg|2026-06-07
PHS295,2026-06-08,Andrewburg,PHS295|Andrewburg|2026-06-08
PHS366,2026-02-23,Mylona_marsh,PHS366|Mylona_marsh|2026-02-23
PHS5,2026-03-27,Nickopolis,PHS5|Nickopolis|2026-03-27
PHS6,2026-04-01,Nickopolis,PHS6|Nickopolis|2026-04-01
PHS10,2026-04-01,Mylona_marsh,PHS10|Mylona_marsh|2026-04-01
PHS8,2026-04-07,Nickopolis,PHS8|Nickopolis|2026-04-07
PHS12,2026-04-07,Nickopolis,PHS12|Nickopolis|2026-04-07
PHS16,2026-04-14,Nickopolis,PHS16|Nickopolis|2026-04-14
PHS18,2026-04-14,Placide_plaza,PHS18|Placide_plaza|2026-04-14
PHS20,2026-04-15,Mylona_marsh,PHS20|Mylona_marsh|2026-04-15
PHS14,2026-04-16,Nickopolis,PHS14|Nickopolis|2026-04-16
PHS27,2026-04-19,Andrewburg,PHS27|Andrewburg|2026-04-19
PHS21,2026-04-20,Nickopolis,PHS21|Nickopolis|2026-04-20
PHS26,2026-04-20,Nickopolis,PHS26|Nickopolis|2026-04-20
PHS29,2026-04-20,Nickopolis,PHS29|Nickopolis|2026-04-20
PHS39,2026-04-21,Mylona_marsh,PHS39|Mylona_marsh|2026-04-21
PHS37,2026-04-22,Nickopolis,PHS37|Nickopolis|2026-04-22
PHS15,2026-04-23,Nickopolis,PHS15|Nickopolis|2026-04-23
PHS25,2026-04-24,Nickopolis,PHS25|Nickopolis|2026-04-24
PHS30,2026-04-24,Placide_plaza,PHS30|Placide_plaza|2026-04-24
PHS34,2026-04-25,Nickopolis,PHS34|Nickopolis|2026-04-25
PHS24,2026-04-25,Nickopolis,PHS24|Nickopolis|2026-04-25
PHS44,2026-04-26,Nickopolis,PHS44|Nickopolis|2026-04-26
PHS33,2026-04-26,Nickopolis,PHS33|Nickopolis|2026-04-26
PHS45,2026-04-27,Nickopolis,PHS45|Nickopolis|2026-04-27
PHS40,2026-04-27,Nickopolis,PHS40|Nickopolis|2026-04-27
PHS32,2026-04-27,Nickopolis,PHS32|Nickopolis|2026-04-27
PHS35,2026-04-28,Nickopolis,PHS35|Nickopolis|2026-04-28
PHS36,2026-04-29,Nickopolis,PHS36|Nickopolis|2026-04-29
PHS28,2026-04-29,Andrewburg,PHS28|Andrewburg|2026-04-29
PHS64,2026-04-29,Nickopolis,PHS64|Nickopolis|2026-04-29
PHS31,2026-04-30,Nickopolis,PHS31|Nickopolis|2026-04-30
PHS61,2026-04-30,Nickopolis,PHS61|Nickopolis|2026-04-30
PHS46,2026-05-01,Nickopolis,PHS46|Nickopolis|2026-05-01
PHS38,2026-05-01,Placide_plaza,PHS38|Placide_plaza|2026-05-01
PHS62,2026-05-02,Rachelburg,PHS62|Rachelburg|2026-05-02
PHS42,2026-05-03,Nickopolis,PHS42|Nickopolis|2026-05-03
PHS53,2026-05-04,Nickopolis,PHS53|Nickopolis|2026-05-04
PHS49,2026-05-04,Nickopolis,PHS49|Nickopolis|2026-05-04
PHS47,2026-05-05,Nickopolis,PHS47|Nickopolis|2026-05-05
PHS43,2026-05-05,Nickopolis,PHS43|Nickopolis|2026-05-05
PHS48,2026-05-05,Nickopolis,PHS48|Nickopolis|2026-05-05
PHS60,2026-05-06,Nickopolis,PHS60|Nickopolis|2026-05-06
PHS82,2026-05-06,Nickopolis,PHS82|Nickopolis|2026-05-06
PHS58,2026-05-07,Nickopolis,PHS58|Nickopolis|2026-05-07
PHS52,2026-05-08,Nickopolis,PHS52|Nickopolis|2026-05-08
PHS57,2026-05-09,Nickopolis,PHS57|Nickopolis|2026-05-09
PHS69,2026-05-10,Andrewburg,PHS69|Andrewburg|2026-05-10
PHS51,2026-05-10,Placide_plaza,PHS51|Placide_plaza|2026-05-10
PHS89,2026-05-10,Nickopolis,PHS89|Nickopolis|2026-05-10
PHS71,2026-05-11,Rachelburg,PHS71|Rachelburg|2026-05-11
PHS77,2026-05-11,Nickopolis,PHS77|Nickopolis|2026-05-11
PHS96,2026-05-11,Nickopolis,PHS96|Nickopolis|2026-05-11
PHS66,2026-05-11,Nickopolis,PHS66|Nickopolis|2026-05-11
PHS86,2026-05-11,Rachelburg,PHS86|Rachelburg|2026-05-11
PHS76,2026-05-12,Nickopolis,PHS76|Nickopolis|2026-05-12
PHS88,2026-05-13,Nickopolis,PHS88|Nickopolis|2026-05-13
PHS102,2026-05-13,Placide_plaza,PHS102|Placide_plaza|2026-05-13
PHS59,2026-05-13,Nickopolis,PHS59|Nickopolis|2026-05-13
PHS121,2026-05-14,Nickopolis,PHS121|Nickopolis|2026-05-14
PHS54,2026-05-14,Placide_plaza,PHS54|Placide_plaza|2026-05-14
